,,Cu,S,Na,Mg,Si,Al,P,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Zn,Ga,Ge,As,Se,Br,Kr,Xe,Rn,At,I,Te,Po,Bi,Sb,Sn,Pb,Tl,In,Cs,Ba,Rb,Sr,Y,Zr,Hf,Ta,Nb,Mo,W,Re,Tc,Ru,Os,Rh,Ir,Pt,Pd,Cd,Au,Hg,Ag,Fr,Ra,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ac,Th,Pa,U
,,ppm,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,mass%,ppm,mass%,ppm,ppm,mass%,mass%,mass%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
170-171,12/05/2024 10:42,34.2,0.199,18.4,0.741,9.2,3.13,0.0386,7.06,ND,1.09,31.1,ND,0.452,73.1,59.1,0.0581,3.1,0.0169,34,65.5,11.4,ND,12,ND,77.3,33.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,436,57.4,1250,22.6,ND,ND,ND,25.5,ND,ND,15.3,ND,ND,15.7,ND,16.9,ND,ND,ND,11.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
178-179,12/05/2024 10:54,54.7,0.11,19.4,0.775,3.73,1.26,ND,3.51,ND,0.735,34.9,ND,0.419,50,50.3,0.106,2.45,0.0093,48.6,48.1,5.54,ND,ND,ND,51.7,ND,ND,ND,ND,13.2,ND,ND,ND,ND,ND,19.3,ND,ND,ND,151,33.2,1330,17.6,ND,ND,ND,17.3,ND,ND,19.5,ND,ND,12.9,ND,ND,ND,ND,ND,9.08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
183-184,12/05/2024 11:07,6.86,0.0113,1.7,0.343,0.392,ND,ND,0.0751,ND,0.299,15.7,ND,0.121,ND,10.3,0.0153,0.664,0.0023,7.12,13.1,2.59,ND,ND,ND,14.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.91,ND,ND,ND,ND,8.18,353,ND,481,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.82,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,ND,15.3,ND,9.28,ND,ND,ND,ND,ND
185-186,12/05/2024 11:19,ND,0.0014,0.355,0.0713,0.0242,ND,ND,0.0033,ND,0.0801,3.83,ND,0.0218,6.29,1.87,0.0018,0.121,ND,2.17,1.55,ND,ND,ND,ND,1.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.932,ND,ND,ND,ND,1.09,57,ND,134,ND,ND,ND,ND,ND,1.45,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,23.4,ND,ND,ND,ND,4.66,ND,ND,ND,ND,ND,ND,ND
203-204,12/05/2024 11:59,41.4,0.199,19.6,0.752,8.04,2.88,0.0347,8.7,ND,1.36,28.9,ND,0.407,64.7,52.4,0.093,2.88,0.0074,40.3,64,17.5,ND,16,ND,59.9,42.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,367,73,1190,ND,ND,ND,ND,16.4,ND,ND,18.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,64.6,ND,ND,ND,ND,ND,ND
214-215,12/05/2024 12:12,49,0.104,3.63,1.33,6.59,2.27,ND,0.925,ND,1.2,24.8,ND,0.456,68.2,41.7,0.0816,2.52,0.0109,28.9,59.6,9.42,ND,3.45,ND,64.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.6,ND,ND,ND,299,43,885,20.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,46.1,45.1,ND,ND,ND,12.2,ND
221-222,12/05/2024 14:31,27.2,0.122,2.29,0.648,9.11,2.73,0.032,1.47,ND,0.946,22.3,ND,0.491,ND,52.8,0.0444,2.2,ND,24.5,51.4,9.37,ND,10.2,ND,66.2,27.2,ND,ND,ND,11.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,342,40.3,830,20.6,ND,ND,ND,37.1,ND,ND,ND,ND,ND,9.19,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,502,ND,ND,ND,ND,ND,61.4,ND,ND,ND,12.9,11.5,ND
234-235,12/05/2024 14:43,42.2,0.0799,1.8,0.658,4.05,1.33,ND,0.635,ND,0.74,32.3,ND,0.337,ND,31.1,0.054,1.92,0.0105,20.7,44.5,10.3,ND,ND,ND,47.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19,ND,ND,ND,181,29.5,1070,15.4,ND,ND,ND,11.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,44.5,30.9,ND,ND,ND,ND,ND
242-243,12/05/2024 14:55,10.9,0.0331,6.06,0.355,1.04,0.198,ND,0.662,ND,0.442,27.6,ND,0.19,ND,15.3,0.0372,0.976,ND,23.4,16.9,ND,ND,16.7,ND,32.6,41,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.92,ND,ND,ND,50.9,15.8,778,ND,63.8,ND,16.7,ND,ND,ND,15.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14.6,ND,ND,ND,ND,ND,ND,ND,196,ND,ND,127,ND,18.6,ND,ND,ND,ND,ND,ND,ND
243-244,12/05/2024 15:08,ND,0.0043,0.67,0.153,0.122,ND,ND,0.025,ND,0.214,10.9,ND,0.0568,ND,4.34,0.0139,0.302,ND,3.97,6.49,ND,ND,0.792,ND,8.53,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.56,ND,ND,ND,ND,4.14,188,ND,316,ND,4.56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.16,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.9,ND
