x Distance [mm]	Height [cm]
 92.640 	 6.716 
 92.830 	 6.719 
 93.020 	 6.719 
 93.205 	 6.717 
 93.395 	 6.716 
 93.580 	 6.719 
 93.770 	 6.719 
 93.960 	 6.719 
 94.145 	 6.719 
 94.335 	 6.716 
 94.520 	 6.714 
 94.710 	 6.714 
 94.900 	 6.714 
 95.085 	 6.714 
 95.275 	 6.715 
 95.460 	 6.719 
 95.650 	 6.719 
 95.840 	 6.717 
 96.025 	 6.716 
 96.215 	 6.715 
 96.400 	 6.712 
 96.590 	 6.714 
 96.780 	 6.711 
 96.965 	 6.714 
 97.155 	 6.714 
 97.340 	 6.712 
 97.530 	 6.710 
 97.720 	 6.714 
 97.905 	 6.714 
 98.095 	 6.714 
 98.280 	 6.714 
 98.470 	 6.714 
 98.660 	 6.714 
 98.845 	 6.712 
 99.035 	 6.711 
 99.220 	 6.712 
 99.410 	 6.707 
 99.600 	 6.704 
 99.785 	 6.704 
 99.975 	 6.704 
 100.160 	 6.704 
 100.350 	 6.704 
 100.540 	 6.704 
 100.725 	 6.704 
 100.915 	 6.703 
 101.100 	 6.701 
 101.290 	 6.704 
 101.480 	 6.702 
 101.665 	 6.702 
 101.855 	 6.704 
 102.040 	 6.703 
 102.230 	 6.699 
 102.420 	 6.701 
 102.605 	 6.704 
 102.795 	 6.699 
 102.980 	 6.698 
 103.170 	 6.703 
 103.360 	 6.701 
 103.545 	 6.702 
 103.735 	 6.701 
 103.920 	 6.702 
 104.110 	 6.701 
 104.300 	 6.704 
 104.485 	 6.704 
 104.675 	 6.702 
 104.860 	 6.699 
 105.050 	 6.694 
 105.240 	 6.694 
 105.425 	 6.699 
 105.615 	 6.699 
 105.800 	 6.697 
 105.990 	 6.696 
 106.180 	 6.702 
 106.365 	 6.702 
 106.555 	 6.699 
 106.740 	 6.696 
 106.930 	 6.694 
 107.120 	 6.691 
 107.305 	 6.689 
 107.495 	 6.693 
 107.680 	 6.688 
 107.870 	 6.687 
 108.060 	 6.689 
 108.245 	 6.684 
 108.435 	 6.685 
 108.620 	 6.686 
 108.810 	 6.688 
 109.000 	 6.689 
 109.185 	 6.687 
 109.375 	 6.685 
 109.560 	 6.685 
 109.750 	 6.685 
 109.940 	 6.682 
 110.125 	 6.680 
 110.315 	 6.680 
 110.500 	 6.680 
 110.690 	 6.683 
 110.880 	 6.681 
 111.065 	 6.682 
 111.255 	 6.682 
 111.440 	 6.677 
 111.630 	 6.677 
 111.820 	 6.678 
 112.005 	 6.679 
 112.195 	 6.677 
 112.380 	 6.675 
 112.570 	 6.672 
 112.760 	 6.670 
 112.945 	 6.670 
 113.135 	 6.670 
 113.320 	 6.670 
 113.510 	 6.667 
 113.700 	 6.667 
 113.885 	 6.667 
 114.075 	 6.668 
 114.260 	 6.668 
 114.450 	 6.667 
 114.640 	 6.670 
 114.825 	 6.670 
 115.015 	 6.670 
 115.200 	 6.668 
 115.390 	 6.663 
 115.580 	 6.662 
 115.765 	 6.663 
 115.955 	 6.660 
 116.140 	 6.662 
 116.330 	 6.663 
 116.520 	 6.658 
 116.705 	 6.658 
 116.895 	 6.660 
 117.080 	 6.658 
 117.270 	 6.655 
 117.460 	 6.655 
 117.645 	 6.655 
 117.835 	 6.657 
 118.020 	 6.656 
 118.210 	 6.650 
 118.400 	 6.653 
 118.585 	 6.655 
 118.775 	 6.655 
 118.960 	 6.655 
 119.150 	 6.653 
 119.340 	 6.650 
 119.525 	 6.650 
 119.715 	 6.650 
 119.900 	 6.650 
 120.090 	 6.650 
 120.280 	 6.653 
 120.465 	 6.653 
 120.655 	 6.650 
 120.840 	 6.648 
 121.030 	 6.646 
 121.220 	 6.643 
 121.405 	 6.643 
 121.595 	 6.646 
 121.780 	 6.646 
 121.970 	 6.646 
 122.160 	 6.642 
 122.345 	 6.641 
 122.535 	 6.643 
 122.720 	 6.643 
 122.910 	 6.641 
 123.100 	 6.643 
 123.285 	 6.643 
 123.475 	 6.641 
