x Distance [mm]	Height [cm]
 434.800 	 6.317 
 434.990 	 6.318 
 435.180 	 6.315 
 435.365 	 6.313 
 435.555 	 6.313 
 435.740 	 6.313 
 435.930 	 6.313 
 436.120 	 6.310 
 436.305 	 6.302 
 436.495 	 6.299 
 436.680 	 6.299 
 436.870 	 6.299 
 437.060 	 6.295 
 437.245 	 6.297 
 437.435 	 6.299 
 437.620 	 6.299 
 437.810 	 6.299 
 438.000 	 6.303 
 438.185 	 6.303 
 438.375 	 6.300 
 438.560 	 6.302 
 438.750 	 6.304 
 438.940 	 6.304 
 439.125 	 6.304 
 439.315 	 6.296 
 439.500 	 6.294 
 439.690 	 6.298 
 439.880 	 6.295 
 440.065 	 6.294 
 440.255 	 6.294 
 440.440 	 6.290 
 440.630 	 6.293 
 440.820 	 6.290 
 441.005 	 6.289 
 441.195 	 6.289 
 441.380 	 6.285 
 441.570 	 6.284 
 441.760 	 6.288 
 441.945 	 6.286 
 442.135 	 6.284 
 442.320 	 6.284 
 442.510 	 6.277 
 442.700 	 6.274 
 442.885 	 6.271 
 443.075 	 6.270 
 443.260 	 6.270 
 443.450 	 6.278 
 443.640 	 6.272 
 443.825 	 6.270 
 444.015 	 6.266 
 444.200 	 6.265 
 444.390 	 6.265 
 444.580 	 6.265 
 444.765 	 6.265 
 444.955 	 6.265 
 445.140 	 6.261 
 445.330 	 6.260 
 445.520 	 6.260 
 445.705 	 6.260 
 445.895 	 6.260 
 446.080 	 6.264 
 446.270 	 6.261 
 446.460 	 6.256 
 446.645 	 6.255 
 446.835 	 6.251 
 447.020 	 6.254 
 447.210 	 6.255 
 447.400 	 6.251 
 447.585 	 6.250 
 447.775 	 6.250 
 447.960 	 6.250 
 448.150 	 6.242 
 448.340 	 6.244 
 448.525 	 6.245 
 448.715 	 6.245 
 448.900 	 6.238 
 449.090 	 6.235 
 449.280 	 6.235 
 449.465 	 6.235 
 449.655 	 6.235 
 449.840 	 6.235 
 450.030 	 6.235 
 450.220 	 6.235 
 450.405 	 6.231 
 450.595 	 6.227 
 450.780 	 6.226 
 450.970 	 6.226 
 451.160 	 6.226 
 451.345 	 6.226 
 451.535 	 6.226 
 451.720 	 6.226 
 451.910 	 6.230 
 452.100 	 6.222 
 452.285 	 6.225 
 452.475 	 6.222 
 452.660 	 6.221 
 452.850 	 6.217 
 453.040 	 6.220 
 453.225 	 6.208 
 453.415 	 6.206 
 453.600 	 6.202 
 453.790 	 6.205 
 453.980 	 6.206 
 454.165 	 6.201 
 454.355 	 6.193 
 454.540 	 6.188 
 454.730 	 6.187 
 454.920 	 6.186 
 455.105 	 6.183 
 455.295 	 6.182 
 455.480 	 6.182 
 455.670 	 6.178 
 455.860 	 6.181 
 456.045 	 6.172 
 456.235 	 6.168 
 456.420 	 6.155 
 456.610 	 6.152 
 456.800 	 6.152 
 456.985 	 6.143 
 457.175 	 6.147 
 457.360 	 6.136 
 457.550 	 6.133 
 457.740 	 6.124 
 457.925 	 6.119 
 458.115 	 6.114 
 458.300 	 6.104 
 458.490 	 6.094 
 458.680 	 6.098 
 458.865 	 6.099 
 459.055 	 6.094 
 459.240 	 6.094 
 459.430 	 6.094 
 459.620 	 6.086 
 459.805 	 6.079 
 459.995 	 6.079 
 460.180 	 6.075 
 460.370 	 6.070 
 460.560 	 6.065 
 460.745 	 6.069 
 460.935 	 6.061 
 461.120 	 6.060 
 461.310 	 6.058 
 461.500 	 6.051 
 461.685 	 6.046 
 461.875 	 6.045 
 462.060 	 6.031 
 462.250 	 6.030 
 462.440 	 6.026 
 462.625 	 6.025 
 462.815 	 6.017 
 463.000 	 6.016 
 463.190 	 6.007 
 463.380 	 5.997 
 463.565 	 5.983 
 463.755 	 5.981 
 463.940 	 5.977 
 464.130 	 5.977 
 464.320 	 5.973 
 464.505 	 5.981 
 464.695 	 5.981 
 464.880 	 5.986 
 465.070 	 5.990 
 465.260 	 5.991 
 465.445 	 5.991 
 465.635 	 5.996 
 465.820 	 6.000 
 466.010 	 6.005 
 466.200 	 6.010 
 466.385 	 5.999 
 466.575 	 5.996 
 466.760 	 5.996 
 466.950 	 5.992 
 467.140 	 5.983 
 467.325 	 5.981 
 467.515 	 5.981 
 467.700 	 5.981 
 467.890 	 5.981 
 468.080 	 5.981 
 468.265 	 5.974 
 468.455 	 5.976 
 468.640 	 5.977 
 468.830 	 5.985 
 469.020 	 5.991 
 469.205 	 5.995 
 469.395 	 5.988 
 469.580 	 5.986 
 469.770 	 5.982 
 469.960 	 5.981 
 470.145 	 5.985 
 470.335 	 5.986 
 470.520 	 5.986 
 470.710 	 5.991 
 470.900 	 5.987 
 471.085 	 5.982 
 471.275 	 5.986 
 471.460 	 5.998 
 471.650 	 5.997 
 471.840 	 6.000 
 472.025 	 5.992 
 472.215 	 5.991 
 472.400 	 5.991 
 472.590 	 5.996 
 472.780 	 5.992 
 472.965 	 5.991 
 473.155 	 6.001 
 473.340 	 6.001 
 473.530 	 5.997 
 473.720 	 5.996 
 473.905 	 5.992 
 474.095 	 5.987 
 474.280 	 5.986 
 474.470 	 5.995 
 474.660 	 5.996 
 474.845 	 5.992 
 475.035 	 5.996 
 475.220 	 5.996 
 475.410 	 6.000 
 475.600 	 6.005 
 475.785 	 6.010 
 475.975 	 6.011 
 476.160 	 6.015 
 476.350 	 6.011 
 476.540 	 6.015 
 476.725 	 6.016 
 476.915 	 6.016 
 477.100 	 6.016 
 477.290 	 6.020 
 477.480 	 6.016 
 477.665 	 6.016 
 477.855 	 6.016 
 478.040 	 6.011 
 478.230 	 6.007 
 478.420 	 6.016 
 478.605 	 6.015 
 478.795 	 6.011 
 478.980 	 6.016 
 479.170 	 6.016 
 479.360 	 6.020 
 479.545 	 6.021 
 479.735 	 6.021 
 479.920 	 6.025 
 480.110 	 6.021 
 480.300 	 6.029 
 480.485 	 6.016 
 480.675 	 6.025 
 480.860 	 6.017 
 481.050 	 6.020 
 481.240 	 6.021 
 481.425 	 6.025 
 481.615 	 6.030 
 481.800 	 6.030 
 481.990 	 6.035 
 482.180 	 6.031 
 482.365 	 6.030 
 482.555 	 6.035 
 482.740 	 6.026 
 482.930 	 6.029 
 483.120 	 6.030 
 483.305 	 6.030 
 483.495 	 6.030 
 483.680 	 6.030 
 483.870 	 6.030 
 484.060 	 6.034 
 484.245 	 6.040 
 484.435 	 6.040 
 484.620 	 6.040 
 484.810 	 6.040 
 485.000 	 6.040 
 485.185 	 6.036 
 485.375 	 6.035 
 485.560 	 6.035 
 485.750 	 6.031 
 485.940 	 6.039 
 486.125 	 6.040 
 486.315 	 6.044 
 486.500 	 6.045 
 486.690 	 6.045 
 486.880 	 6.037 
 487.065 	 6.035 
 487.255 	 6.045 
 487.440 	 6.041 
 487.630 	 6.040 
 487.820 	 6.040 
 488.005 	 6.040 
 488.195 	 6.044 
 488.380 	 6.045 
 488.570 	 6.045 
 488.760 	 6.050 
 488.945 	 6.050 
 489.135 	 6.054 
 489.320 	 6.055 
 489.510 	 6.050 
 489.700 	 6.054 
 489.885 	 6.055 
 490.075 	 6.055 
 490.260 	 6.046 
 490.450 	 6.054 
 490.640 	 6.050 
 490.825 	 6.050 
 491.015 	 6.049 
 491.200 	 6.045 
 491.390 	 6.050 
 491.580 	 6.056 
 491.765 	 6.059 
 491.955 	 6.064 
 492.140 	 6.064 
 492.330 	 6.060 
 492.520 	 6.060 
 492.705 	 6.069 
 492.895 	 6.069 
 493.080 	 6.074 
 493.270 	 6.068 
 493.460 	 6.063 
 493.645 	 6.054 
 493.835 	 6.050 
 494.020 	 6.050 
 494.210 	 6.050 
 494.400 	 6.050 
 494.585 	 6.055 
 494.775 	 6.060 
 494.960 	 6.061 
 495.150 	 6.064 
 495.340 	 6.058 
 495.525 	 6.051 
 495.715 	 6.064 
 495.900 	 6.064 
 496.090 	 6.066 
 496.280 	 6.069 
 496.465 	 6.070 
 496.655 	 6.079 
 496.840 	 6.081 
 497.030 	 6.094 
 497.220 	 6.094 
 497.405 	 6.094 
 497.595 	 6.095 
 497.780 	 6.108 
 497.970 	 6.104 
 498.160 	 6.109 
 498.345 	 6.119 
 498.535 	 6.123 
 498.720 	 6.113 
 498.910 	 6.113 
 499.100 	 6.114 
 499.285 	 6.118 
 499.475 	 6.118 
 499.660 	 6.114 
 499.850 	 6.123 
 500.040 	 6.119 
 500.225 	 6.123 
 500.415 	 6.119 
 500.600 	 6.123 
 500.790 	 6.123 
 500.980 	 6.123 
 501.165 	 6.123 
 501.355 	 6.122 
 501.540 	 6.118 
 501.730 	 6.119 
 501.920 	 6.128 
 502.105 	 6.128 
 502.295 	 6.133 
 502.480 	 6.137 
 502.670 	 6.128 
 502.860 	 6.124 
 503.045 	 6.133 
 503.235 	 6.137 
 503.420 	 6.133 
 503.610 	 6.143 
 503.800 	 6.143 
 503.985 	 6.143 
 504.175 	 6.138 
 504.360 	 6.138 
 504.550 	 6.142 
 504.740 	 6.142 
 504.925 	 6.138 
 505.115 	 6.147 
 505.300 	 6.142 
 505.490 	 6.139 
 505.680 	 6.152 
 505.865 	 6.152 
 506.055 	 6.152 
 506.240 	 6.152 
 506.430 	 6.152 
 506.620 	 6.148 
 506.805 	 6.157 
 506.995 	 6.158 
 507.180 	 6.162 
 507.370 	 6.162 
 507.560 	 6.168 
 507.745 	 6.172 
 507.935 	 6.172 
 508.120 	 6.172 
 508.310 	 6.178 
 508.500 	 6.182 
 508.685 	 6.172 
 508.875 	 6.172 
 509.060 	 6.167 
 509.250 	 6.167 
 509.440 	 6.168 
 509.625 	 6.172 
 509.815 	 6.177 
 510.000 	 6.181 
 510.190 	 6.177 
 510.380 	 6.176 
 510.565 	 6.172 
 510.755 	 6.172 
 510.940 	 6.177 
 511.130 	 6.177 
 511.320 	 6.177 
 511.505 	 6.186 
 511.695 	 6.182 
 511.880 	 6.187 
 512.070 	 6.188 
 512.260 	 6.196 
 512.445 	 6.191 
 512.635 	 6.187 
 512.820 	 6.187 
 513.010 	 6.187 
 513.200 	 6.187 
 513.385 	 6.191 
 513.575 	 6.191 
 513.760 	 6.192 
 513.950 	 6.195 
 514.140 	 6.192 
 514.325 	 6.196 
 514.515 	 6.196 
 514.700 	 6.197 
 514.890 	 6.202 
 515.080 	 6.211 
 515.265 	 6.212 
 515.455 	 6.214 
 515.640 	 6.205 
 515.830 	 6.196 
 516.020 	 6.191 
 516.205 	 6.187 
 516.395 	 6.191 
 516.580 	 6.192 
 516.770 	 6.196 
 516.960 	 6.197 
 517.145 	 6.202 
 517.335 	 6.207 
 517.520 	 6.210 
 517.710 	 6.206 
 517.900 	 6.206 
 518.085 	 6.211 
 518.275 	 6.211 
 518.460 	 6.211 
 518.650 	 6.207 
 518.840 	 6.216 
 519.025 	 6.217 
 519.215 	 6.231 
 519.400 	 6.236 
 519.590 	 6.240 
 519.780 	 6.236 
 519.965 	 6.241 
 520.155 	 6.250 
 520.340 	 6.245 
 520.530 	 6.246 
 520.720 	 6.255 
 520.905 	 6.254 
 521.095 	 6.250 
 521.280 	 6.250 
 521.470 	 6.250 
 521.660 	 6.255 
 521.845 	 6.256 
 522.035 	 6.260 
 522.220 	 6.260 
 522.410 	 6.260 
 522.600 	 6.259 
 522.785 	 6.255 
 522.975 	 6.259 
 523.160 	 6.255 
 523.350 	 6.255 
 523.540 	 6.256 
 523.725 	 6.260 
 523.915 	 6.260 
 524.100 	 6.265 
 524.290 	 6.265 
 524.480 	 6.265 
 524.665 	 6.265 
 524.855 	 6.265 
 525.040 	 6.265 
 525.230 	 6.269 
 525.420 	 6.271 
 525.605 	 6.278 
 525.795 	 6.284 
 525.980 	 6.279 
 526.170 	 6.279 
 526.360 	 6.279 
 526.545 	 6.280 
 526.735 	 6.284 
 526.920 	 6.284 
 527.110 	 6.284 
 527.300 	 6.281 
 527.485 	 6.284 
 527.675 	 6.283 
 527.860 	 6.280 
 528.050 	 6.287 
 528.240 	 6.294 
 528.425 	 6.291 
 528.615 	 6.295 
 528.800 	 6.297 
 528.990 	 6.293 
 529.180 	 6.288 
 529.365 	 6.282 
 529.555 	 6.272 
 529.740 	 6.280 
 529.930 	 6.286 
 530.120 	 6.288 
 530.305 	 6.286 
 530.495 	 6.289 
 530.680 	 6.286 
 530.870 	 6.280 
 531.060 	 6.284 
 531.245 	 6.285 
 531.435 	 6.290 
 531.620 	 6.294 
 531.810 	 6.289 
 532.000 	 6.291 
 532.185 	 6.295 
 532.375 	 6.299 
 532.560 	 6.304 
 532.750 	 6.304 
 532.940 	 6.304 
 533.125 	 6.304 
 533.315 	 6.303 
 533.500 	 6.299 
 533.690 	 6.298 
 533.880 	 6.295 
 534.065 	 6.300 
 534.255 	 6.304 
 534.440 	 6.309 
 534.630 	 6.313 
 534.820 	 6.315 
 535.005 	 6.317 
 535.195 	 6.313 
 535.380 	 6.313 
 535.570 	 6.309 
 535.760 	 6.313 
 535.945 	 6.308 
 536.135 	 6.304 
 536.320 	 6.303 
 536.510 	 6.300 
 536.700 	 6.304 
 536.885 	 6.306 
 537.075 	 6.313 
 537.260 	 6.312 
 537.450 	 6.309 
 537.640 	 6.307 
 537.825 	 6.304 
 538.015 	 6.304 
 538.200 	 6.304 
 538.390 	 6.304 
 538.580 	 6.304 
 538.765 	 6.304 
 538.955 	 6.304 
 539.140 	 6.305 
 539.330 	 6.309 
 539.520 	 6.312 
 539.705 	 6.309 
 539.895 	 6.308 
 540.080 	 6.304 
 540.270 	 6.304 
 540.460 	 6.304 
 540.645 	 6.304 
 540.835 	 6.304 
 541.020 	 6.303 
 541.210 	 6.301 
 541.400 	 6.307 
 541.585 	 6.299 
 541.775 	 6.304 
 541.960 	 6.304 
 542.150 	 6.304 
 542.340 	 6.304 
 542.525 	 6.305 
 542.715 	 6.309 
 542.900 	 6.308 
 543.090 	 6.304 
 543.280 	 6.304 
 543.465 	 6.304 
 543.655 	 6.303 
 543.840 	 6.298 
 544.030 	 6.294 
 544.220 	 6.295 
 544.405 	 6.298 
 544.595 	 6.294 
 544.780 	 6.295 
 544.970 	 6.298 
 545.160 	 6.294 
 545.345 	 6.293 
 545.535 	 6.290 
 545.720 	 6.294 
 545.910 	 6.295 
 546.100 	 6.299 
 546.285 	 6.297 
 546.475 	 6.290 
 546.660 	 6.295 
 546.850 	 6.298 
 547.040 	 6.294 
 547.225 	 6.293 
 547.415 	 6.288 
 547.600 	 6.285 
 547.790 	 6.289 
 547.980 	 6.288 
 548.165 	 6.287 
 548.355 	 6.292 
 548.540 	 6.285 
 548.730 	 6.288 
 548.920 	 6.283 
 549.105 	 6.279 
 549.295 	 6.280 
 549.480 	 6.286 
 549.670 	 6.294 
 549.860 	 6.294 
 550.045 	 6.295 
 550.235 	 6.304 
 550.420 	 6.302 
 550.610 	 6.300 
 550.800 	 6.303 
 550.985 	 6.297 
 551.175 	 6.294 
 551.360 	 6.295 
 551.550 	 6.298 
 551.740 	 6.294 
 551.925 	 6.294 
 552.115 	 6.294 
 552.300 	 6.294 
 552.490 	 6.294 
 552.680 	 6.293 
 552.865 	 6.290 
 553.055 	 6.294 
 553.240 	 6.294 
 553.430 	 6.294 
 553.620 	 6.294 
 553.805 	 6.294 
 553.995 	 6.294 
 554.180 	 6.293 
 554.370 	 6.291 
 554.560 	 6.294 
 554.745 	 6.294 
 554.935 	 6.295 
 555.120 	 6.296 
 555.310 	 6.289 
 555.500 	 6.289 
 555.685 	 6.289 
 555.875 	 6.290 
 556.060 	 6.295 
 556.250 	 6.297 
 556.440 	 6.294 
 556.625 	 6.295 
 556.815 	 6.299 
 557.000 	 6.296 
 557.190 	 6.289 
 557.380 	 6.291 
 557.565 	 6.295 
 557.755 	 6.300 
 557.940 	 6.300 
 558.130 	 6.292 
 558.320 	 6.291 
 558.505 	 6.296 
 558.695 	 6.289 
 558.880 	 6.290 
 559.070 	 6.294 
 559.260 	 6.294 
 559.445 	 6.293 
 559.635 	 6.289 
 559.820 	 6.290 
 560.010 	 6.294 
 560.200 	 6.292 
 560.385 	 6.290 
 560.575 	 6.294 
 560.760 	 6.294 
 560.950 	 6.293 
 561.140 	 6.290 
 561.325 	 6.294 
 561.515 	 6.297 
 561.700 	 6.294 
 561.890 	 6.294 
 562.080 	 6.294 
 562.265 	 6.296 
 562.455 	 6.297 
 562.640 	 6.294 
 562.830 	 6.294 
 563.020 	 6.294 
 563.205 	 6.292 
 563.395 	 6.291 
 563.580 	 6.294 
 563.770 	 6.294 
 563.960 	 6.296 
 564.145 	 6.297 
 564.335 	 6.294 
 564.520 	 6.296 
 564.710 	 6.297 
 564.900 	 6.294 
 565.085 	 6.294 
 565.275 	 6.296 
 565.460 	 6.299 
 565.650 	 6.299 
 565.840 	 6.301 
 566.025 	 6.304 
 566.215 	 6.302 
 566.400 	 6.299 
 566.590 	 6.300 
 566.780 	 6.303 
 566.965 	 6.299 
 567.155 	 6.299 
 567.340 	 6.296 
 567.530 	 6.289 
 567.720 	 6.289 
 567.905 	 6.289 
 568.095 	 6.290 
 568.280 	 6.294 
 568.470 	 6.294 
 568.660 	 6.295 
 568.845 	 6.297 
 569.035 	 6.294 
 569.220 	 6.292 
 569.410 	 6.291 
 569.600 	 6.294 
 569.785 	 6.294 
 569.975 	 6.294 
 570.160 	 6.295 
 570.350 	 6.298 
 570.540 	 6.294 
 570.725 	 6.294 
 570.915 	 6.294 
 571.100 	 6.294 
 571.290 	 6.297 
 571.480 	 6.302 
 571.665 	 6.299 
 571.855 	 6.300 
 572.040 	 6.303 
 572.230 	 6.300 
 572.420 	 6.304 
 572.605 	 6.302 
 572.795 	 6.297 
 572.980 	 6.292 
 573.170 	 6.298 
 573.360 	 6.295 
 573.545 	 6.302 
 573.735 	 6.307 
 573.920 	 6.305 
 574.110 	 6.307 
 574.300 	 6.304 
 574.485 	 6.305 
 574.675 	 6.309 
 574.860 	 6.307 
 575.050 	 6.304 
 575.240 	 6.304 
 575.425 	 6.304 
 575.615 	 6.302 
 575.800 	 6.301 
 575.990 	 6.309 
 576.180 	 6.310 
 576.365 	 6.313 
 576.555 	 6.312 
 576.740 	 6.310 
 576.930 	 6.313 
 577.120 	 6.313 
 577.305 	 6.313 
 577.495 	 6.315 
 577.680 	 6.317 
 577.870 	 6.315 
 578.060 	 6.318 
 578.245 	 6.320 
 578.435 	 6.323 
 578.620 	 6.325 
 578.810 	 6.328 
 579.000 	 6.326 
 579.185 	 6.323 
 579.375 	 6.321 
 579.560 	 6.321 
 579.750 	 6.325 
 579.940 	 6.328 
 580.125 	 6.328 
 580.315 	 6.326 
 580.500 	 6.324 
 580.690 	 6.327 
 580.880 	 6.323 
 581.065 	 6.323 
 581.255 	 6.325 
 581.440 	 6.327 
 581.630 	 6.325 
 581.820 	 6.326 
 582.005 	 6.326 
 582.195 	 6.328 
 582.380 	 6.328 
 582.570 	 6.328 
 582.760 	 6.328 
 582.945 	 6.328 
 583.135 	 6.330 
 583.320 	 6.331 
 583.510 	 6.330 
 583.700 	 6.331 
 583.885 	 6.330 
 584.075 	 6.331 
 584.260 	 6.330 
 584.450 	 6.333 
 584.640 	 6.332 
 584.825 	 6.328 
 585.015 	 6.330 
 585.200 	 6.331 
 585.390 	 6.328 
 585.580 	 6.328 
 585.765 	 6.330 
 585.955 	 6.333 
 586.140 	 6.333 
 586.330 	 6.335 
 586.520 	 6.338 
 586.705 	 6.336 
 586.895 	 6.335 
 587.080 	 6.338 
 587.270 	 6.338 
 587.460 	 6.336 
 587.645 	 6.335 
 587.835 	 6.338 
 588.020 	 6.338 
 588.210 	 6.340 
 588.400 	 6.341 
 588.585 	 6.340 
 588.775 	 6.343 
 588.960 	 6.343 
 589.150 	 6.341 
 589.340 	 6.339 
 589.525 	 6.341 
 589.715 	 6.340 
 589.900 	 6.343 
 590.090 	 6.343 
 590.280 	 6.341 
 590.465 	 6.338 
 590.655 	 6.338 
 590.840 	 6.338 
 591.030 	 6.338 
 591.220 	 6.338 
 591.405 	 6.338 
 591.595 	 6.338 
 591.780 	 6.338 
 591.970 	 6.338 
 592.160 	 6.338 
 592.345 	 6.340 
 592.535 	 6.343 
 592.720 	 6.343 
 592.910 	 6.343 
 593.100 	 6.345 
 593.285 	 6.348 
 593.475 	 6.347 
 593.660 	 6.343 
 593.850 	 6.341 
 594.040 	 6.338 
 594.225 	 6.338 
 594.415 	 6.338 
 594.600 	 6.339 
 594.790 	 6.343 
 594.980 	 6.344 
 595.165 	 6.348 
 595.355 	 6.349 
 595.540 	 6.351 
 595.730 	 6.346 
 595.920 	 6.345 
 596.105 	 6.346 
 596.295 	 6.341 
 596.480 	 6.338 
 596.670 	 6.340 
 596.860 	 6.345 
 597.045 	 6.348 
 597.235 	 6.348 
 597.420 	 6.345 
 597.610 	 6.347 
 597.800 	 6.351 
 597.985 	 6.348 
 598.175 	 6.345 
 598.360 	 6.345 
 598.550 	 6.350 
 598.740 	 6.353 
 598.925 	 6.353 
 599.115 	 6.350 
 599.300 	 6.348 
 599.490 	 6.348 
 599.680 	 6.348 
 599.865 	 6.348 
 600.055 	 6.350 
 600.240 	 6.350 
 600.430 	 6.350 
 600.620 	 6.353 
 600.805 	 6.355 
 600.995 	 6.355 
 601.180 	 6.353 
 601.370 	 6.353 
 601.560 	 6.353 
 601.745 	 6.353 
 601.935 	 6.355 
 602.120 	 6.357 
 602.310 	 6.357 
 602.500 	 6.356 
 602.685 	 6.353 
 602.875 	 6.353 
 603.060 	 6.355 
 603.250 	 6.357 
 603.440 	 6.357 
 603.625 	 6.357 
 603.815 	 6.357 
 604.000 	 6.357 
 604.190 	 6.357 
 604.380 	 6.355 
 604.565 	 6.355 
 604.755 	 6.357 
 604.940 	 6.359 
 605.130 	 6.360 
 605.320 	 6.357 
 605.505 	 6.357 
 605.695 	 6.359 
 605.880 	 6.362 
 606.070 	 6.362 
 606.260 	 6.362 
 606.445 	 6.362 
 606.635 	 6.362 
 606.820 	 6.362 
 607.010 	 6.362 
 607.200 	 6.364 
 607.385 	 6.367 
 607.575 	 6.367 
 607.760 	 6.367 
 607.950 	 6.367 
 608.140 	 6.367 
 608.325 	 6.367 
 608.515 	 6.367 
 608.700 	 6.367 
 608.890 	 6.367 
 609.080 	 6.366 
 609.265 	 6.361 
 609.455 	 6.357 
 609.640 	 6.357 
 609.830 	 6.357 
 610.020 	 6.357 
 610.205 	 6.359 
 610.395 	 6.364 
 610.580 	 6.367 
 610.770 	 6.367 
 610.960 	 6.367 
 611.145 	 6.367 
 611.335 	 6.367 
 611.520 	 6.365 
 611.710 	 6.362 
 611.900 	 6.362 
 612.085 	 6.362 
 612.275 	 6.362 
 612.460 	 6.362 
 612.650 	 6.364 
 612.840 	 6.365 
 613.025 	 6.360 
 613.215 	 6.359 
 613.400 	 6.362 
 613.590 	 6.362 
 613.780 	 6.362 
 613.965 	 6.365 
 614.155 	 6.367 
 614.340 	 6.367 
 614.530 	 6.367 
 614.720 	 6.367 
 614.905 	 6.367 
 615.095 	 6.367 
 615.280 	 6.367 
 615.470 	 6.365 
 615.660 	 6.362 
 615.845 	 6.365 
 616.035 	 6.367 
 616.220 	 6.369 
 616.410 	 6.370 
 616.600 	 6.369 
 616.785 	 6.372 
 616.975 	 6.372 
 617.160 	 6.372 
 617.350 	 6.370 
 617.540 	 6.369 
 617.725 	 6.370 
 617.915 	 6.367 
 618.100 	 6.367 
 618.290 	 6.367 
 618.480 	 6.370 
 618.665 	 6.374 
 618.855 	 6.373 
 619.040 	 6.370 
 619.230 	 6.370 
 619.420 	 6.369 
 619.605 	 6.372 
 619.795 	 6.372 
 619.980 	 6.372 
 620.170 	 6.372 
 620.360 	 6.372 
 620.545 	 6.372 
 620.735 	 6.372 
 620.920 	 6.372 
 621.110 	 6.372 
 621.300 	 6.372 
 621.485 	 6.372 
 621.675 	 6.372 
 621.860 	 6.372 
 622.050 	 6.372 
 622.240 	 6.370 
 622.425 	 6.370 
 622.615 	 6.370 
 622.800 	 6.367 
 622.990 	 6.369 
 623.180 	 6.368 
 623.365 	 6.364 
 623.555 	 6.365 
 623.740 	 6.362 
 623.930 	 6.364 
 624.120 	 6.367 
 624.305 	 6.367 
 624.495 	 6.367 
 624.680 	 6.367 
 624.870 	 6.369 
 625.060 	 6.368 
 625.245 	 6.365 
 625.435 	 6.365 
 625.620 	 6.365 
 625.810 	 6.365 
 626.000 	 6.365 
 626.185 	 6.367 
 626.375 	 6.367 
 626.560 	 6.367 
 626.750 	 6.369 
 626.940 	 6.372 
 627.125 	 6.370 
 627.315 	 6.367 
 627.500 	 6.367 
 627.690 	 6.367 
 627.880 	 6.365 
 628.065 	 6.365 
 628.255 	 6.369 
 628.440 	 6.372 
 628.630 	 6.372 
 628.820 	 6.372 
 629.005 	 6.372 
 629.195 	 6.372 
 629.380 	 6.372 
 629.570 	 6.372 
 629.760 	 6.372 
 629.945 	 6.372 
 630.135 	 6.372 
 630.320 	 6.372 
 630.510 	 6.372 
 630.700 	 6.372 
 630.885 	 6.372 
 631.075 	 6.370 
 631.260 	 6.369 
 631.450 	 6.370 
 631.640 	 6.367 
 631.825 	 6.367 
 632.015 	 6.370 
 632.200 	 6.369 
 632.390 	 6.370 
 632.580 	 6.372 
 632.765 	 6.372 
 632.955 	 6.372 
 633.140 	 6.369 
 633.330 	 6.370 
 633.520 	 6.375 
 633.705 	 6.377 
 633.895 	 6.377 
 634.080 	 6.381 
 634.270 	 6.385 
 634.460 	 6.381 
 634.645 	 6.380 
 634.835 	 6.382 
 635.020 	 6.379 
 635.210 	 6.380 
 635.400 	 6.378 
 635.585 	 6.377 
 635.775 	 6.374 
 635.960 	 6.372 
 636.150 	 6.372 
 636.340 	 6.372 
 636.525 	 6.372 
 636.715 	 6.369 
 636.900 	 6.367 
 637.090 	 6.370 
 637.280 	 6.372 
 637.465 	 6.372 
 637.655 	 6.372 
 637.840 	 6.372 
 638.030 	 6.375 
 638.220 	 6.377 
 638.405 	 6.379 
 638.595 	 6.382 
 638.780 	 6.382 
 638.970 	 6.377 
 639.160 	 6.375 
 639.345 	 6.377 
 639.535 	 6.377 
 639.720 	 6.377 
 639.910 	 6.380 
 640.100 	 6.382 
 640.285 	 6.382 
 640.475 	 6.382 
 640.660 	 6.382 
 640.850 	 6.379 
 641.040 	 6.380 
 641.225 	 6.384 
 641.415 	 6.384 
 641.600 	 6.379 
 641.790 	 6.380 
 641.980 	 6.379 
 642.165 	 6.380 
 642.355 	 6.382 
 642.540 	 6.382 
 642.730 	 6.379 
 642.920 	 6.380 
 643.105 	 6.385 
 643.295 	 6.387 
 643.480 	 6.384 
 643.670 	 6.382 
 643.860 	 6.382 
 644.045 	 6.382 
 644.235 	 6.384 
 644.420 	 6.387 
 644.610 	 6.387 
 644.800 	 6.387 
 644.985 	 6.387 
 645.175 	 6.387 
 645.360 	 6.387 
 645.550 	 6.387 
 645.740 	 6.384 
 645.925 	 6.379 
 646.115 	 6.374 
 646.300 	 6.369 
 646.490 	 6.372 
 646.680 	 6.377 
 646.865 	 6.380 
 647.055 	 6.382 
 647.240 	 6.379 
 647.430 	 6.379 
 647.620 	 6.379 
 647.805 	 6.383 
 647.995 	 6.387 
 648.180 	 6.385 
 648.370 	 6.382 
 648.560 	 6.385 
 648.745 	 6.387 
 648.935 	 6.387 
 649.120 	 6.384 
 649.310 	 6.382 
 649.500 	 6.382 
 649.685 	 6.382 
 649.875 	 6.385 
 650.060 	 6.387 
 650.250 	 6.387 
 650.440 	 6.387 
 650.625 	 6.387 
 650.815 	 6.384 
 651.000 	 6.382 
 651.190 	 6.382 
 651.380 	 6.385 
 651.565 	 6.387 
 651.755 	 6.387 
 651.940 	 6.387 
 652.130 	 6.384 
 652.320 	 6.385 
 652.505 	 6.384 
 652.695 	 6.382 
 652.880 	 6.382 
 653.070 	 6.382 
 653.260 	 6.388 
 653.445 	 6.388 
 653.635 	 6.387 
